scope,part_id,description,quantity,material,status,source,evidence,landed_line_KRW,cost_state,notes
legacy_interface:extruder,BR-6202,6202 bearing boundary,1,Bearing steel,STANDARD_SIZE_VERIFY_MPN,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
legacy_interface:extruder,DRV-M2,M2 TT GMP60 motor reference,1,Purchased,DATASHEET_INTERFACE_REFERENCE,https://www.ttmotor.com/uploads/GMP60-609760127.pdf,C1_INTERFACE_BASELINE,,UNKNOWN,"4xM5 PCD45, pilot32, shaft12 D10.9; encoder and wire exit not dimensioned in this option."
legacy_interface:extruder,EX-BARREL,Barrel16.3ID x30OD x256,1,SCM440 nitrided RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Radial cold clearance0.15. Honing, straightness, hot fit, feed hole and die pressure sealing require supplier approval."
legacy_interface:extruder,EX-CPL,12-to15 split coupling32 long,1,Steel,CLAMP_TORQUE_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"D-shaft jaw and clamping proof pending, no axial load transfer intent."
legacy_interface:extruder,EX-DIE,Die36OD x20 with2mm exit,1,SCM440 or stainless RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"2mm die exit is a drawdown candidate for1.75 filament, not final calibration. Heater bore6x38; pressure attachment not yet detailed."
legacy_interface:extruder,EX-H100,24V100W band heater30ID x40,3,Purchased custom,HEATER_QUOTE_AND_DRAWING_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,3units100W; power density100/(pi*3cm*4cm)=2.65W/cm2. Lead/clamp bulge not invented.
legacy_interface:extruder,EX-H60,24V60W cartridge6x20,1,Purchased custom,HEATER_QUOTE_AND_DRAWING_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"Rated60W is requirement, not a verified off-the-shelf product."
legacy_interface:extruder,EX-REAR,Extruder rear/thrust shaft15,1,SCM440,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,x213..274 inassembly; collar258..264. No thrust transmitted to M2 bearings; shaft-screw connection detail is manufacturing HOLD.
legacy_interface:extruder,EX-SCREW,16mm x256mm compression screw,1,SCM440 QT/nitriding RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Pitch16, flight2, root10 feed /13 meter, L/D16. CAD flight has square flanks; fillets/tip geometry/finish and nitriding supplier confirmation required."
legacy_interface:extruder,EX-THRUST,Metal thrust carrier39x60x70,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"6202 and51102 distinct radial/thrust functions. Split lid, positive stops and end access need assembly DFM; digital solid only. Four M6 underside pilots atX10/26,Y10/50; mating stand positions232/248,255/295."
legacy_interface:feed,FEED-BUF,Buffer190x48 top /50x40 throat /height73,1,PC outer shell plus metal throat,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Internal geometric volume calculated; usable75pct separately stated. Top fits between Y251..299, ahead of pin rings. Cold throat offset to barrel feed X289."
legacy_interface:feed,HOP-LID,Interlocked lid180x140,1,PC with metal strike,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Hinge/guard lock hardware not chosen. NO open-lid operation.
legacy_interface:feed,HOPPER,35deg batch hopper,1,PC shell + steel lower liner,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Whole hopper exceeds print limit; must split into <=210mm panels before printing. Closed lid and standstill interlock mandatory; angle is not an access safety measure.
legacy_interface:frame,FR-2020-320,2020 profile cut320,1,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2020-360,2020 profile cut 360,3,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2020-400,2020 profile cut 400,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2020-590,2020 profile cut 590,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2040-320,2040 profile cut 320,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2040-400,2040 profile cut 400,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-2040-630,2040 profile cut 630,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
legacy_interface:frame,FR-BASE,Bottom tray 630x400x3,1,Al 5052,SHEET_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Mains and hot zones require separate partitions; shown base is not sealed containment.
legacy_interface:frame_mount,DRV-DECK,Steel drive deck240x194x5,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Deck atZ20..25, supported by existing crossmembers. Added4 feet must be included in frame stiffness review."
legacy_interface:frame_mount,DRV-M1-FOOT,M1 steel mounting foot70x50x19,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Motor plate corner holes to vertical face. Base bolts to drive deck, not to a printed carrier."
legacy_interface:frame_mount,DRV-RISER12,Input rear bearing riser34x12x10,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Bearing bolt pattern must be transferred to deck after slots/profile series confirmed.
legacy_interface:frame_mount,DRV-RISER20,Output rear bearing shim70x18x2.5,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"2.50 ground shim, full metal bearing support."
legacy_interface:frame_mount,EX-STAND,Thrust stand / coaxial motor bridge,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,M2 and thrust carrier share metal stand on deck; no large right-angle gearbox. Top holes4xM6 to carrier. Weld/bolt/pressure proof remains HOLD.
legacy_interface:frame_mount,S1-ROOF-F,Front roof bracket30x95x25,2,10mm steel welded/folded,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Face atY135 against retainer. M6 top hole to existing profile centreY50. Metal roof load path; bend/weld qualification pending.
legacy_interface:frame_mount,S1-ROOF-R,Rear roof bracket30x48x25,2,10mm steel welded/folded,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Face atY352; M6 profile connection atY390. Do not print this bracket.
legacy_interface:frame_mount,S2-LEG-L,S2 L column / metal foot,2,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Foot bottomZ25; topZ210. Centre mounting holeZ203. L sits on5mm deck, R on2020crossmember. Welded joint and anchors DFM hold."
legacy_interface:frame_mount,S2-LEG-R,S2 R column / metal foot,2,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Foot bottomZ20; topZ210. Centre mounting holeZ203. L sits on5mm deck, R on2020crossmember. Welded joint and anchors DFM hold."
system_requirement,AUX-DRIVES,"Puller,spool,traverse actuation",1,Procurement requirement,AUX_ACTUATION_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"Separate low-power controls, no large third shredder motor."
system_requirement,CHAIN-A,ANSI35 chain94 pitches,1,Procurement requirement,CHAIN_RATING_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Pitch length895.35mm. Working load and width to confirm.
system_requirement,CHAIN-B,ANSI35 chain84 pitches,1,Procurement requirement,CHAIN_RATING_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Pitch length800.10mm. Working load and width to confirm.
system_requirement,CTRL-MEGA,Arduino Mega,1,Procurement requirement,OWNED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Reference power allocator is NOT deployable heater firmware.
system_requirement,DRV-TLIMIT,Mechanical torque limiter,1,Procurement requirement,TORQUE_LIMITER_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Shared M1 input; calibration before blade operation.
system_requirement,EL-BTS,Existing BTS7960 modules,2,Procurement requirement,OWNED_UNQUALIFIED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Do not assume advertised43A continuous.
system_requirement,EL-DRV,Pololu2995 M1 driver option,1,Procurement requirement,OPTION_NOT_PURCHASED,https://www.pololu.com/product/2995,C1_INTERFACE_BASELINE,,UNKNOWN,Configurable current limit; board21A is not terminal43A. Existing BTS7960 requires qualification.
system_requirement,EL-TC,Adafruit3263 MAX31856,4,Procurement requirement,PURCHASE_CANDIDATE,https://www.adafruit.com/product/3263,C1_INTERFACE_BASELINE,,UNKNOWN,Four independent temperature inputs; K probes exact mechanical model unresolved.
system_requirement,FASTENERS,"Brackets, metal supports,keys,shims,retainers",1,Procurement requirement,HARDWARE_SCHEDULE_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Not an orderable quantity list; full mechanical fastener closure is outstanding.
system_requirement,FEED-CHUTE,Metal lined transfer chute,1,Procurement requirement,TRANSFER_PATH_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Complete swept envelope/bridging check and split-print panels before release.
system_requirement,GUARDS,Steel cutter containment / chain guards / heat shield,1,Procurement requirement,SAFETY_GEOMETRY_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Do not operate the open review assembly. Guard geometry still to be detailed.
system_requirement,SAFE-BRAKE,Bus overvoltage/braking protection,1,Procurement requirement,REGEN_DESIGN_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,PSU sink ability unknown; no regeneration assumption.
system_requirement,SAFE-CONTACT,24V coil DC rated contactor,1,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Continuous>=35A DC and fault-current breaking coordinated with fuse.
system_requirement,SAFE-FUSE,Branch and mains fuses / holders,1,Procurement requirement,CIRCUIT_DESIGN_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"Select from actual cable ampacity, DC breaking and inrush. No guessed fuse order."
system_requirement,SAFE-LOCK,Coded/positive-opening guard lock,2,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"Lid and service access, standstill unlock, manual reset."
system_requirement,SAFE-STOP,Existing E-stop,1,Procurement requirement,OWNED_RATING_VERIFY,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,Independent hard cut with contactor; contact configuration verify.
system_requirement,SAFE-THERM,Independent thermal cutoff chain,1,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,Normally closed manual-reset overtemp plus one-shot protection.
vp1_stage1_3,AUG_BEARINGS,west split pillow plus east journal cradle for the r3 auger shaft,1,steel plate 5 mm,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Auger shaft supported at both ends - UNQUOTED
vp1_stage1_3,AUG_SHAFT,"active auger conveyor: r3 shaft x236..370 at y232/z347.1; RH flight root r3/OD r8, pitch 28.5, four turns x238.5..352.5 with 3 mm swept face; 0.032 mm BRep U-shell gap",1,steel shaft + steel flight,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Conveys +x at -5.4375 rpm for 58 rpm reference M1 via 15/40 gear and 24/12 chain B plus 8:1 worm/wheel; S1 pan pickup and S2 handoff need connected validation - UNQUOTED
vp1_stage1_3,AUG_WHEEL,"16T worm wheel (REFERENCE geometry, unrated), face x359..365, sector web, teeth cut by discrete hobbing of the worm; keyed Ø6 auger bore",1,steel (reference),REFERENCE_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Matched 1.8 mm key and keyway transfer torque to AUG_SHAFT; tooth strength and wear unqualified - UNQUOTED
vp1_stage1_3,CHUTE_BODY,"welded S1->S2 transfer chute with sealed pan, active screw-conveyor trough and east fallaway",1,steel sheet 3 mm + formed trough,TRANSFER_UNRATED,VP1-ADR-002,VP1-STAGE5,,UNQUOTED_NOT_ZERO,BRep geometry and digital flow only; material transport and containment are not physically qualified - UNQUOTED
vp1_stage1_3,CHUTE_TROUGH_FLOOR_E,bolted trough ledge section over the S2 mouth,1,steel sheet 3 mm,GEOMETRY_PASS,VP1-ADR-002,VP1-STAGE2,,UNQUOTED_NOT_ZERO,Clearance-cut for the frozen saddle jacket - UNQUOTED
vp1_stage1_3,CROSS_FEED_BEARINGS,paired cross-feed and idler journal support with structural rails,1,steel plate and journal shells,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,BRep-supported reference geometry; wear and load unqualified - UNQUOTED
vp1_stage1_3,CROSS_FEED_GEAR,12T keyed output gear on transverse feed shaft,1,steel reference gear,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,1:1 from PDL through idler; tooth contact and torque rating unqualified - UNQUOTED
vp1_stage1_3,CROSS_FEED_IDLER,12T integral idler and supported journal between PDL and transverse feed gears,1,steel reference gear and shaft,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Two external meshes preserve rotation sign; journal rating unqualified - UNQUOTED
vp1_stage1_3,CROSS_FEED_SHAFT,LH helical screw on y-axis x357/z328 with 9 mm pitch and radius 10 mm flight,1,steel shaft and welded flight,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Active +Y transfer to y250.7; frozen south cap y251..255 remains and final material passage unproven - UNQUOTED
vp1_stage1_3,CROSS_FEED_SHELL,U cradle and cap-bore inner-radius 5 mm passive outlet bridge,1,formed steel sheet,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Shell does not cut frozen S2 cap; material crossing cap bridge unproven - UNQUOTED
vp1_stage1_3,DRV-CHAIN-A,#35 roller chain cut to 896 mm (94 links; chain A: jackshaft 24T -> S1 shaft A 24T),1,ANSI35 steel roller chain p=9.525,PROCUREMENT_HOLD,VP1-ADR-002,VP1-STAGE1,,UNQUOTED_NOT_ZERO,Cut length from tangent+pitch-arc geometry (drive_geometry.json chain_lengths.A=896.0). UNQUOTED: not 0 - the 100000 KRW soft limit applies to quoted lines only
vp1_stage1_3,DRV-CHAIN-B,"#35 roller chain cut to 724 mm (76 links; chain B: jackshaft 24T -> S2 12T, ADR-002 rev B)",1,ANSI35 steel roller chain p=9.525,PROCUREMENT_HOLD,VP1-ADR-002,VP1-STAGE4,,UNQUOTED_NOT_ZERO,Cut length from tangent+pitch-arc geometry (chain_lengths.B=723.9). UNQUOTED: not 0
vp1_stage1_3,EL_CONTACTOR,safety contactor,1,24 V coil contactor MPN unselected,SAFETY_HARDWARE_REQUIRED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_CURRENT_LIMITER,heater sequencer / current-limit relay bank,1,relay bank MPN unselected,CONTROL_REFERENCE_UNRATED,VP1-STAGE4,VP1-STAGE4,,UNQUOTED_NOT_ZERO,Host-tested firmware excludes simultaneous heater bands and rejects demand above 792 W; independent electrical interlock and component ratings still required - UNQUOTED
vp1_stage1_3,EL_DIN_RAIL,DIN rail 35 mm top-hat x 210,1,steel rail,PROCUREMENT_HOLD,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_DRIVER_1,stepper/BLDC driver (M1 branch),1,24 V driver MPN unselected,MOTOR_UNSELECTED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_DRIVER_2,stepper/BLDC driver (M2 branch),1,24 V driver MPN unselected,MOTOR_UNSELECTED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_DRIVER_3,stepper/BLDC driver (winder/puller accessory),1,24 V driver MPN unselected,MOTOR_UNSELECTED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_ESTOP_BOX,dual-channel E-stop / lid / service interlock relay box,1,relay box MPN unselected,SAFETY_HARDWARE_REQUIRED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_OVERTEMP_BOX,manual-reset independent overtemperature relay box,1,relay box MPN unselected,SAFETY_HARDWARE_REQUIRED,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,EL_WIRE_DUCT,slotted wiring duct x 210,1,PVC duct,PROCUREMENT_HOLD,VP1-STAGE3,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,GUARD_CHAIN_A,chain A top-run lid plate,1,steel plate 3 mm,CONTAINMENT_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,GUARD_CHAIN_B,chain B outer guard plate set (continuous; ADR-002 rev B re-route),1,steel plate 3 mm,CONTAINMENT_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,GUARD_LID_INTERLOCK_SEAT,hopper-lid interlock switch seat,1,steel plate 3 mm,CONTAINMENT_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,GUARD_S2_RING,S2 rotor ring guard (annular sector r 90..94 over 20..114 deg),1,steel plate 3 mm,CONTAINMENT_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,Guard plate thickness unrated; service sweep verified - UNQUOTED
vp1_stage1_3,PDL_BEARINGS,"two split pillow posts carrying the worm shaft at x353..365, y204..210/352..358",1,steel plate 5 mm,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Mounted on the support-plate bosses - UNQUOTED
vp1_stage1_3,PDL_CHAIN,"#35 roller chain, 35 links incl. offset link; S2 12T second band to PDL_SPROCKET at x362, 1:1",1,ANSI35 steel roller chain p=9.525,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Nominal333.375 mm versus geometric332.734 mm; 0.641 mm length surplus. Offset-link strength and tension adjustment unqualified; no quote - UNQUOTED
vp1_stage1_3,PDL_FEED_GEAR,12T keyed spur on worm shaft feeding orthogonal screw train,1,steel reference gear,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Tooth strength and keyed fit unqualified - UNQUOTED
vp1_stage1_3,PDL_SHAFT,"trough worm shaft dia 10 x 188 (r5, y204..392, x362, z374.5), dia 12 keyed chain shoulder y376..392",1,steel rod C45 candidate,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Carries the RH 2-start worm; keyed 12T sprocket takes 1:1 PDL_CHAIN drive from the S2 12T sprocket - UNQUOTED
vp1_stage1_3,PDL_SPROCKET,worm-shaft drive sprocket 12T bore 12 mm with keyed hub on shaft shoulder,1,ANSI35 steel sprocket,TRANSFER_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Bore r6 on y376..392 shaft shoulder r6 with 1.8 mm key in matched slot; torque fit and chain rating UNRATED - UNQUOTED
vp1_stage1_3,PDL_WORM,"RH 2-start worm (REFERENCE geometry, unrated): root r6/pitch r6.75/OD r7.5, lead angle 23.3 deg, length 20 (y220..240), keyed Ø10 shaft bore",1,steel (reference),REFERENCE_UNRATED,VP1-STAGE5,VP1-STAGE5,,UNQUOTED_NOT_ZERO,Matched 1.8 mm key and keyway transfer torque from PDL_SHAFT; tooth mesh and loads remain unrated - UNQUOTED
vp1_stage1_3,PULL_FRAME,puller side plates + base + fixed-roller bearing seats + carriage guide slots,1,steel plate 5 mm + 3 mm,NIP_RATING_HOLD,VP1-STAGE4,VP1-STAGE4,,UNQUOTED_NOT_ZERO,Positive stop 1.5 mm and adjustable open nip to 3.0 mm; spring carriage grips nominal 1.75 mm filament - UNQUOTED
vp1_stage1_3,PULL_MOTOR_REF,puller gearmotor reference (not selected),1,24 V gearmotor MPN unselected,MOTOR_UNSELECTED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED; known motor floors exceed the 100000 KRW soft limit - not 0
vp1_stage1_3,PULL_NIP_STOP,"nip positive-stop cam block (1.5 mm minimum, 3.0 mm open)",1,steel,NIP_RATING_HOLD,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,PULL_ROLLER_ADJ,"puller adjustable roller dia 20 + spring-loaded carriage (guide posts, coil springs, cam stop)",1,steel; M5 screw,NIP_RATING_HOLD,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,"Spring-loaded carrier grips 1.5-2.0 mm filament (1.75 nominal, design/parameters.json filament_mm); cam stop range 1.5..3.0 mm - UNQUOTED"
vp1_stage1_3,PULL_ROLLER_FIXED,puller drive roller dia 20 x 22,1,steel; knurl or rubber per TPU grip,NIP_RATING_HOLD,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_FLANGE_L,spool flange dia 200,1,steel plate 6 mm,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_FLANGE_R,spool flange dia 200,1,steel plate 6 mm,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_MOTOR_REF,spool gearmotor reference (not selected),1,24 V gearmotor MPN unselected,MOTOR_UNSELECTED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED; known motor floors exceed the 100000 KRW soft limit - not 0
vp1_stage1_3,WIND_SPOOL_BEARINGS,spool shaft bearing blocks at BOTH shaft ends,1,steel plate 5 mm + bearing seats,WINDER_UNRATED,VP1-STAGE4,VP1-STAGE4,,UNQUOTED_NOT_ZERO,VP1 Stage 4 grip redesign: shaft supported at both ends - UNQUOTED
vp1_stage1_3,WIND_SPOOL_DRUM,spool drum dia 70 x 58,1,steel tube or printed polymer,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_SPOOL_SHAFT,spool shaft dia 16 x 95,1,C45 candidate,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_TENSIONER,slip tensioner post + wrap arm,1,steel,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_TRAVERSE_RIDER,traverse rider block + guide eyelet,1,steel + printed guide,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
vp1_stage1_3,WIND_TRAVERSE_SCREW,traverse lead screw dia 8 x 80,1,steel rod,WINDER_UNRATED,VP1-STAGE2,VP1-STAGE3,,UNQUOTED_NOT_ZERO,UNQUOTED
