part_id,description,quantity,material,status,source,notes
DRV-M1-FOOT,M1 steel mounting foot70x50x19,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Motor plate corner holes to vertical face. Base bolts to drive deck, not to a printed carrier."
DRV-RISER12,Input rear bearing riser34x12x10,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Bearing bolt pattern must be transferred to deck after slots/profile series confirmed.
DRV-RISER20,Output rear bearing shim70x18x2.5,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"2.50 ground shim, full metal bearing support."
S2-LEG-L,S2 L column / metal foot,2,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Foot bottomZ25; topZ210. Centre mounting holeZ203. L sits on5mm deck, R on2020crossmember. Welded joint and anchors DFM hold."
S2-LEG-R,S2 R column / metal foot,2,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Foot bottomZ20; topZ210. Centre mounting holeZ203. L sits on5mm deck, R on2020crossmember. Welded joint and anchors DFM hold."
EX-STAND,Thrust stand / coaxial motor bridge,1,Steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,M2 and thrust carrier share metal stand on deck; no large right-angle gearbox. Top holes4xM6 to carrier. Weld/bolt/pressure proof remains HOLD.
KEY-8-154,Parallel key8x7x154,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-8-25,Parallel key8x7x25,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-8-16,Parallel key8x7x16,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-4-70,Parallel key4x4x70,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-4-78,Parallel key4x4x78,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-4-16,Parallel key4x4x16,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-6-70,Parallel key6x6x70,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
KEY-6-16,Parallel key6x6x16,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
EL-DRV,Pololu2995 M1 driver option,1,Procurement requirement,OPTION_NOT_PURCHASED,https://www.pololu.com/product/2995,Configurable current limit; board21A is not terminal43A. Existing BTS7960 requires qualification.
EL-TC,Adafruit3263 MAX31856,4,Procurement requirement,PURCHASE_CANDIDATE,https://www.adafruit.com/product/3263,Four independent temperature inputs; K probes exact mechanical model unresolved.
SAFE-STOP,Existing E-stop,1,Procurement requirement,OWNED_RATING_VERIFY,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Independent hard cut with contactor; contact configuration verify.
CTRL-MEGA,Arduino Mega,1,Procurement requirement,OWNED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Reference power allocator is NOT deployable heater firmware.
EL-BTS,Existing BTS7960 modules,2,Procurement requirement,OWNED_UNQUALIFIED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Do not assume advertised43A continuous.
SAFE-LOCK,Coded/positive-opening guard lock,2,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,"Lid and service access, standstill unlock, manual reset."
SAFE-CONTACT,24V coil DC rated contactor,1,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,Continuous>=35A DC and fault-current breaking coordinated with fuse.
SAFE-FUSE,Branch and mains fuses / holders,1,Procurement requirement,CIRCUIT_DESIGN_HOLD,Supplier drawing / capacity confirmation required before procurement,"Select from actual cable ampacity, DC breaking and inrush. No guessed fuse order."
SAFE-THERM,Independent thermal cutoff chain,1,Procurement requirement,SAFETY_SELECTION_HOLD,Supplier drawing / capacity confirmation required before procurement,Normally closed manual-reset overtemp plus one-shot protection.
SAFE-BRAKE,Bus overvoltage/braking protection,1,Procurement requirement,REGEN_DESIGN_HOLD,Supplier drawing / capacity confirmation required before procurement,PSU sink ability unknown; no regeneration assumption.
DRV-TLIMIT,Mechanical torque limiter,1,Procurement requirement,TORQUE_LIMITER_HOLD,Supplier drawing / capacity confirmation required before procurement,Shared M1 input; calibration before blade operation.
CHAIN-A,ANSI35 chain94 pitches,1,Procurement requirement,CHAIN_RATING_HOLD,Supplier drawing / capacity confirmation required before procurement,Pitch length895.35mm. Working load and width to confirm.
CHAIN-B,ANSI35 chain84 pitches,1,Procurement requirement,CHAIN_RATING_HOLD,Supplier drawing / capacity confirmation required before procurement,Pitch length800.10mm. Working load and width to confirm.
FASTENERS,"Brackets, metal supports,keys,shims,retainers",1,Procurement requirement,HARDWARE_SCHEDULE_HOLD,Supplier drawing / capacity confirmation required before procurement,Not an orderable quantity list; full mechanical fastener closure is outstanding.
FEED-CHUTE,Metal lined transfer chute,1,Procurement requirement,TRANSFER_PATH_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Complete swept envelope/bridging check and split-print panels before release.
GUARDS,Steel cutter containment / chain guards / heat shield,1,Procurement requirement,SAFETY_GEOMETRY_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Do not operate the open review assembly. Guard geometry still to be detailed.
AUX-DRIVES,"Puller,spool,traverse actuation",1,Procurement requirement,AUX_ACTUATION_HOLD,Supplier drawing / capacity confirmation required before procurement,"Separate low-power controls, no large third shredder motor."
